rainfall_mm,temperature_C,soil_moisture,evapotranspiration_mm,API,runoff_mm
34.309,20.618,0.418,1.871,62.397,8.681
24.239,25.188,0.175,1.97,77.986,2.286
24.218,23.654,0.367,2.472,78.83,10.444
24.239,24.569,0.193,2.322,79.399,5.839
32.266,24.105,0.268,2.441,79.819,11.343
26.57,21.341,0.166,2.743,88.139,0.24
8.548,25.977,0.471,2.134,88.267,2.95
13.792,19.687,0.22,1.749,70.335,4.463
67.965,29.944,0.263,4.449,63.027,14.897
2.315,28.117,0.181,2.815,112.084,2.65
11.286,22.533,0.436,2.074,80.774,6.96
35.048,22.775,0.439,2.36,67.828,12.53
9.033,26.378,0.413,2.476,82.528,4.437
27.07,21.007,0.346,1.391,66.802,13.325
17.262,34.06,0.188,2.408,73.831,1.761
9.59,26.79,0.333,1.916,68.944,5.454
1.81,26.966,0.249,3.57,57.851,0.0
19.192,28.407,0.381,2.211,42.306,8.738
8.386,22.103,0.362,2.055,48.806,2.015
15.229,30.445,0.185,3.745,42.55,4.585
24.073,25.573,0.345,2.279,45.014,8.205
30.528,29.751,0.318,3.608,55.583,12.739
11.256,24.01,0.0,0.86,69.436,0.861
9.575,31.586,0.33,3.026,59.862,4.875
5.113,27.007,0.207,2.78,51.478,0.0
31.546,35.913,0.161,3.614,41.148,4.585
61.817,23.152,0.166,0.662,60.35,12.506
33.865,26.023,0.236,3.805,104.062,3.654
38.956,19.842,0.298,1.13,106.708,7.206
9.098,22.354,0.113,2.57,113.652,3.494
23.078,28.093,0.269,2.817,88.655,6.296
28.801,30.647,0.308,4.068,85.136,6.199
6.631,39.825,0.436,6.17,88.396,1.08
47.872,24.517,0.142,1.161,68.509,7.086
4.182,20.334,0.215,1.384,95.828,2.502
43.057,28.767,0.276,3.066,71.261,11.268
4.153,19.361,0.365,0.831,92.94,0.0
6.935,27.821,0.22,3.564,69.211,4.776
23.373,22.489,0.37,3.092,55.383,11.099
17.584,26.058,0.056,3.165,62.14,0.0
12.171,30.455,0.125,3.282,61.082,4.299
46.671,24.446,0.285,3.814,54.928,13.246
5.25,29.664,0.109,1.811,85.121,1.401
14.783,29.366,0.133,3.002,64.835,0.0
25.474,15.678,0.197,0.829,60.167,8.997
20.564,20.492,0.327,2.939,67.591,6.081
9.851,17.191,0.06,0.0,67.878,3.606
10.157,35.009,0.267,3.473,57.365,7.899
30.217,24.473,0.353,2.783,50.313,9.509
31.187,33.904,0.231,2.443,65.436,4.8
20.957,16.835,0.213,1.057,76.992,5.14
8.092,22.136,0.29,2.229,74.851,1.77
10.43,29.002,0.231,3.855,60.488,3.425
16.398,25.896,0.389,1.557,52.772,5.206
18.228,27.664,0.139,1.908,53.338,2.497
24.774,18.731,0.245,2.999,55.565,2.676
14.19,31.884,0.271,2.915,63.67,4.02
29.755,28.885,0.212,2.111,58.759,7.105
29.529,27.008,0.0,3.429,70.886,0.0
39.84,21.572,0.234,1.669,79.15,9.862
16.939,26.619,0.34,3.689,95.245,5.744
21.212,23.543,0.328,1.691,83.61,5.585
15.042,16.748,0.285,1.515,79.739,10.212
8.178,24.748,0.14,3.42,70.86,3.319
60.901,24.216,0.29,2.195,57.78,9.575
36.534,30.312,0.193,3.787,101.347,9.247
29.118,13.828,0.285,1.317,107.477,11.834
16.509,26.176,0.262,4.599,104.352,4.525
7.559,19.222,0.152,3.491,89.556,2.168
32.691,26.596,0.161,1.332,70.248,7.509
14.839,26.871,0.286,3.209,81.865,0.0
22.586,24.566,0.228,1.64,72.145,5.456
10.397,29.036,0.166,3.095,73.087,1.578
20.033,18.771,0.158,1.945,61.558,7.553
10.941,30.539,0.22,1.998,63.124,4.003
11.295,21.46,0.407,3.204,55.128,4.195
19.845,17.221,0.197,1.925,49.885,4.314
4.091,23.638,0.249,2.079,54.765,3.608
4.3,14.524,0.26,1.014,42.426,1.636
9.006,26.271,0.137,2.767,33.998,0.0
14.06,23.704,0.074,2.778,32.804,0.618
30.372,31.168,0.147,2.992,37.023,7.132
14.686,28.245,0.275,0.0,56.288,6.745
16.429,18.04,0.259,1.821,54.088,4.907
13.211,20.808,0.32,0.639,54.29,5.926
21.19,27.603,0.26,2.551,51.214,3.931
8.106,29.235,0.239,1.519,57.04,2.458
15.302,31.113,0.19,1.695,48.034,2.089
22.409,31.073,0.338,4.342,48.925,5.008
19.73,24.552,0.158,2.135,56.657,6.997
16.83,26.813,0.139,2.285,59.39,0.478
16.985,31.494,0.307,3.632,58.403,3.001
23.958,23.483,0.117,1.978,57.867,0.745
62.782,26.899,0.491,4.794,64.465,10.382
8.593,23.366,0.258,2.064,107.907,2.996
63.934,22.245,0.285,2.59,84.129,10.741
8.258,25.242,0.169,3.495,122.824,5.693
1.535,21.562,0.218,3.758,94.234,0.0
10.759,24.345,0.207,1.693,67.499,5.941
21.479,19.825,0.196,1.565,58.008,7.136
54.516,24.05,0.313,3.68,62.085,10.222
7.551,27.242,0.205,3.534,97.976,6.275
23.858,22.056,0.352,3.281,76.134,7.439
4.772,25.046,0.516,1.136,77.152,7.273
53.254,25.697,0.22,4.118,58.779,12.939
37.001,27.263,0.265,1.965,94.399,9.517
11.314,24.332,0.288,2.626,103.08,5.597
40.967,30.429,0.431,2.895,83.47,12.91
15.231,14.495,0.242,0.571,99.396,2.518
38.298,39.689,0.167,2.556,84.808,6.638
16.734,20.644,0.123,0.321,97.664,6.484
17.281,27.017,0.244,2.821,85.099,7.827
11.505,20.308,0.205,0.505,76.85,2.164
26.07,28.221,0.451,1.688,65.3,10.443
18.268,26.383,0.427,2.42,71.78,7.224
24.229,21.746,0.147,0.0,68.515,4.88
3.671,30.365,0.179,3.816,72.19,0.792
39.201,24.18,0.257,0.008,54.203,9.493
45.783,27.736,0.39,2.696,77.144,12.515
18.205,20.414,0.256,2.056,99.783,8.387
59.937,24.846,0.185,3.023,88.053,11.971
51.15,35.017,0.244,3.46,121.574,10.223
26.464,29.815,0.187,4.999,136.253,8.885
41.315,26.538,0.31,2.87,121.841,12.304
34.405,22.755,0.179,3.329,126.603,5.629
2.711,25.337,0.199,1.81,123.028,0.0
13.425,25.988,0.366,2.72,88.831,2.59
27.752,27.246,0.173,4.272,75.606,6.21
47.773,19.617,0.105,1.724,80.677,4.933
4.444,28.342,0.259,3.026,104.246,0.0
2.93,19.552,0.214,2.936,77.417,0.0
15.96,33.156,0.301,2.573,57.122,2.689
1.689,21.142,0.282,0.0,55.945,3.17
15.542,26.483,0.247,2.904,40.85,2.842
21.862,30.026,0.244,3.991,44.137,0.335
7.239,23.738,0.176,1.022,52.758,2.035
15.871,26.703,0.258,3.341,44.17,3.691
32.288,32.176,0.338,3.895,46.789,5.373
10.716,27.822,0.153,0.509,65.041,5.291
8.383,26.778,0.249,1.741,56.244,1.569
15.323,16.576,0.354,1.262,47.754,7.772
6.556,20.331,0.301,1.854,48.751,3.552
57.074,30.235,0.381,2.28,40.681,14.487
17.126,27.85,0.193,1.988,85.551,1.017
9.167,28.607,0.067,4.532,77.012,0.0
19.585,28.177,0.27,2.71,63.075,4.195
15.258,31.449,0.286,2.45,63.737,0.619
13.974,23.693,0.387,2.328,59.874,7.295
10.713,25.602,0.369,3.097,55.886,1.571
10.283,19.857,0.304,2.037,49.833,1.767
3.76,18.61,0.327,1.655,45.167,0.0
41.273,16.781,0.231,1.028,35.377,9.329
25.273,20.574,0.128,1.395,66.037,0.053
21.016,32.763,0.262,2.678,71.499,5.916
15.069,17.236,0.348,2.062,71.066,7.117
7.124,23.482,0.316,1.354,64.815,3.991
8.685,18.534,0.333,2.247,52.495,4.387
4.223,21.995,0.207,3.613,45.431,1.587
9.635,25.848,0.223,2.911,36.025,0.0
6.24,21.499,0.298,1.78,34.853,4.989
49.313,30.448,0.195,1.747,30.637,5.912
30.836,32.67,0.198,4.845,70.759,3.569
17.686,13.755,0.28,0.205,80.368,4.522
7.837,21.585,0.326,3.007,73.943,3.362
6.542,25.296,0.23,3.168,59.597,0.0
14.328,30.631,0.134,2.826,48.26,1.697
31.711,22.729,0.176,2.01,48.11,1.438
4.346,24.9,0.27,0.654,65.388,4.424
25.042,19.216,0.269,2.252,50.118,6.583
9.599,17.336,0.274,2.354,60.125,1.794
11.136,32.227,0.302,2.134,51.686,1.994
17.301,15.88,0.251,1.432,47.316,5.403
8.076,36.643,0.277,3.702,50.422,0.0
13.768,28.626,0.245,3.447,43.372,2.493
7.481,28.4,0.365,2.844,44.128,4.717
10.274,27.877,0.393,1.161,38.371,2.202
28.444,23.737,0.131,1.844,37.134,4.5
17.982,26.96,0.224,2.921,54.438,3.699
28.371,24.056,0.253,3.247,56.089,4.32
9.492,27.765,0.223,2.159,67.633,0.957
25.172,24.832,0.429,4.671,56.835,8.646
3.248,20.248,0.272,0.13,64.956,0.606
17.295,20.647,0.169,1.501,48.718,0.0
26.345,20.079,0.31,1.925,51.397,7.18
3.103,29.855,0.277,2.785,62.323,0.0
9.588,21.913,0.28,0.959,46.729,4.455
17.286,15.439,0.431,1.992,42.299,8.509
33.326,26.984,0.285,3.07,46.895,7.195
10.273,32.573,0.22,3.305,66.152,3.885
24.485,28.865,0.054,3.218,56.58,6.549
43.064,21.983,0.233,1.775,64.091,9.557
25.282,17.066,0.381,0.089,87.927,8.23
14.18,24.329,0.241,1.716,86.831,7.036
21.932,24.204,0.026,2.577,74.962,5.654
10.022,20.154,0.2,2.178,74.405,5.802
17.81,27.755,0.349,2.817,62.106,3.075
14.737,34.233,0.305,3.972,61.284,0.0
21.416,26.111,0.166,2.03,57.635,1.696
11.895,25.802,0.193,2.607,61.761,3.376
22.295,20.314,0.209,2.603,55.127,3.709
11.801,31.987,0.184,3.114,60.884,0.966
30.632,24.624,0.047,1.219,54.42,4.44
12.802,22.105,0.326,1.249,68.726,0.578
1.772,25.318,0.376,3.363,60.91,0.138
6.746,27.36,0.098,4.128,44.41,1.761
16.906,25.696,0.374,3.745,37.833,4.868
49.029,31.031,0.24,3.335,43.388,8.481
29.831,26.92,0.373,1.489,79.401,11.113
1.317,23.58,0.254,2.352,85.412,0.0
3.938,27.006,0.264,4.263,61.105,0.0
36.222,27.498,0.287,3.368,46.712,8.71
26.243,18.518,0.171,1.644,68.92,6.814
66.527,30.747,0.369,3.703,74.488,12.225
11.412,23.495,0.138,1.08,118.668,2.044
7.927,23.623,0.21,1.667,94.48,1.955
17.608,28.757,0.302,1.791,74.062,1.143
11.229,28.736,0.199,3.343,69.451,3.837
33.97,21.496,0.328,2.864,59.845,8.884
10.911,29.015,0.388,2.748,75.862,0.35
13.42,22.198,0.351,1.347,64.015,6.013
6.955,34.098,0.056,3.39,58.23,0.436
28.474,20.859,0.263,1.599,47.716,2.38
7.371,26.197,0.353,1.824,61.875,0.0
22.594,21.09,0.118,2.448,50.684,3.142
54.534,36.113,0.322,2.853,58.073,7.142
2.635,18.811,0.317,0.315,95.185,5.547
44.402,27.622,0.129,1.418,69.264,8.135
20.549,21.325,0.333,0.529,92.887,6.77
5.95,23.229,0.277,2.57,85.569,2.527
18.119,27.268,0.315,2.877,65.849,6.815
27.902,31.123,0.153,3.213,64.213,5.084
8.403,33.117,0.265,3.899,72.851,2.187
23.524,17.315,0.08,2.923,59.399,0.0
46.856,26.339,0.022,2.042,65.103,12.858
10.9,32.297,0.264,3.636,92.428,0.0
6.877,16.573,0.36,0.078,75.599,2.663
15.095,26.572,0.275,4.036,59.797,0.0
17.396,24.99,0.244,1.254,56.953,4.813
35.159,27.073,0.231,1.997,57.263,5.63
14.709,21.138,0.156,1.516,75.244,4.097
11.741,17.822,0.228,0.256,67.379,0.0
6.718,15.434,0.292,1.576,58.906,4.334
3.131,29.882,0.206,3.202,47.952,0.0
4.944,30.52,0.325,2.863,36.697,0.544
4.915,26.513,0.27,1.111,30.632,3.337
13.535,22.329,0.282,4.216,26.357,2.201
3.818,16.885,0.339,2.238,31.985,1.525
15.976,27.817,0.197,5.416,26.208,2.41
53.745,19.496,0.316,1.145,34.321,10.053
35.851,21.444,0.211,3.102,77.77,3.722
13.431,22.067,0.284,2.986,90.29,2.359
76.851,24.012,0.185,2.111,76.634,10.259
17.443,21.205,0.159,3.532,130.495,0.027
19.357,25.167,0.259,2.111,108.79,6.328
14.872,21.891,0.061,1.828,95.51,2.123
16.247,28.507,0.22,0.0,81.728,4.148
10.589,30.155,0.089,3.425,73.457,2.929
13.587,25.543,0.328,1.229,62.009,3.552
44.599,27.313,0.355,2.181,56.994,7.304
38.484,35.589,0.164,2.533,84.495,3.351
1.672,19.137,0.293,1.547,97.631,1.454
4.299,18.833,0.34,2.327,70.013,1.912
8.507,28.475,0.34,2.859,53.309,0.587
31.9,34.733,0.271,4.183,45.823,3.687
39.062,23.698,0.323,3.635,63.976,4.266
27.827,33.634,0.185,2.995,83.845,1.739
5.927,25.482,0.258,2.07,86.519,0.0
10.771,21.596,0.203,3.117,66.49,0.86
23.816,20.047,0.177,3.042,57.314,0.0
13.753,28.147,0.254,3.555,63.936,0.989
12.281,20.425,0.285,1.09,58.508,1.902
12.427,25.406,0.366,2.963,53.236,5.422
36.561,32.917,0.277,3.401,49.693,2.473
25.556,23.466,0.314,3.399,71.346,2.596
12.981,31.57,0.315,2.584,75.498,2.219
21.242,18.927,0.519,0.226,65.83,6.317
5.171,22.33,0.069,2.923,67.322,2.637
10.788,17.964,0.181,0.0,52.296,0.134
34.209,25.365,0.397,1.805,47.396,6.283
3.566,28.9,0.215,1.867,67.386,1.409
25.778,25.376,0.339,1.508,50.735,7.863
1.648,31.135,0.273,2.364,61.293,0.0
49.562,21.254,0.461,3.343,44.553,3.633
10.575,26.127,0.139,3.433,80.749,0.471
22.369,22.363,0.372,1.985,67.1,8.783
18.185,26.808,0.425,3.814,69.338,5.156
18.683,27.519,0.149,1.69,66.722,3.231
20.965,27.912,0.328,1.593,65.389,2.408
2.902,19.647,0.153,2.828,66.737,0.0
18.971,20.551,0.253,2.635,49.618,3.276
14.402,21.479,0.224,1.688,53.704,0.0
10.624,23.806,0.01,1.245,51.995,2.324
8.503,25.436,0.292,4.003,47.021,0.0
19.325,28.54,0.264,1.134,41.418,4.057
6.958,20.76,0.398,1.478,48.317,0.0
33.796,16.995,0.311,1.928,40.78,5.161
23.543,35.779,0.479,5.38,62.342,2.352
20.195,19.343,0.261,2.317,67.182,0.0
32.844,29.182,0.239,3.398,67.223,6.136
2.407,25.156,0.232,1.946,79.9,3.931
5.004,26.257,0.206,3.194,58.338,2.708
24.283,24.992,0.029,2.605,45.84,3.058
8.943,23.076,0.228,0.719,56.371,1.611
9.953,27.32,0.043,3.525,48.403,1.447
4.304,22.807,0.295,3.251,43.835,3.044
6.976,30.832,0.126,3.887,34.988,0.0
34.305,27.842,0.161,2.818,31.468,0.741
23.881,27.998,0.183,1.844,56.333,2.431
19.169,22.464,0.23,0.0,63.314,8.643
10.285,23.818,0.251,2.539,63.488,1.979
18.292,19.06,0.358,2.988,54.727,0.0
36.342,23.235,0.192,3.319,56.601,0.602
9.137,19.817,0.298,2.798,75.963,1.384
16.219,31.565,0.523,3.082,62.311,8.194
51.573,25.253,0.288,3.613,59.837,6.937
27.575,25.852,0.232,3.509,93.459,7.002
10.409,23.874,0.172,1.965,92.996,0.903
26.052,25.988,0.231,3.275,75.506,0.0
3.503,37.324,0.161,3.196,78.906,0.0
15.724,23.499,0.277,2.89,58.738,4.008
26.032,21.748,0.26,0.876,56.84,6.192
22.073,27.648,0.034,1.543,65.82,0.0
25.857,12.371,0.248,2.295,68.147,3.886
29.917,25.32,0.358,3.47,73.56,13.205
23.325,23.141,0.21,2.948,81.409,0.729
22.851,20.038,0.185,2.092,80.312,5.449
19.494,27.539,0.112,0.363,79.069,0.0
6.243,25.27,0.064,2.452,74.843,2.113
34.295,15.988,0.333,2.053,58.633,4.789
16.161,21.767,0.232,1.642,75.338,4.601
27.104,10.559,0.327,0.343,68.898,3.785
31.951,26.466,0.403,4.091,75.332,7.77
10.853,26.416,0.342,2.581,84.684,1.444
11.663,21.034,0.196,2.558,70.132,0.515
12.985,27.701,0.264,3.544,60.755,3.455
38.703,18.588,0.189,0.857,55.514,5.235
7.58,20.167,0.179,2.21,77.563,2.336
43.195,27.086,0.284,4.028,61.874,6.379
19.335,21.557,0.167,3.975,86.507,2.564
20.357,24.687,0.029,2.509,79.89,2.606
30.992,22.182,0.161,1.98,76.28,3.851
17.752,22.945,0.219,2.564,84.388,1.178
34.553,23.164,0.402,2.56,76.823,6.978
10.841,21.466,0.201,3.533,88.33,4.436
42.285,26.512,0.301,1.655,72.671,8.83
11.551,21.86,0.233,1.906,93.155,1.223
43.352,25.078,0.373,1.391,76.76,11.097
11.809,21.356,0.366,1.124,97.084,5.991
13.287,17.329,0.368,2.109,79.768,5.838
6.774,29.562,0.077,3.766,69.125,0.0
8.59,27.498,0.271,2.1,55.161,0.96
16.223,36.443,0.326,4.416,47.202,1.801
19.877,19.78,0.288,3.09,49.265,3.389
32.877,23.955,0.314,4.33,54.362,7.474
14.054,24.357,0.256,2.505,70.931,4.07
22.107,29.947,0.176,2.355,63.706,4.604
18.909,22.464,0.08,1.244,66.701,5.864
23.867,19.145,0.185,0.813,65.6,6.586
9.715,31.039,0.518,4.354,69.787,3.816
10.708,23.417,0.201,0.827,58.565,0.362
9.718,29.393,0.054,4.157,51.704,0.0
37.212,28.811,0.323,2.013,45.911,7.36
42.554,24.851,0.336,1.8,69.349,11.776
10.331,24.128,0.379,2.261,91.098,4.239
10.506,23.042,0.297,1.601,74.1,2.259
26.246,24.924,0.335,3.424,62.375,4.248
45.691,29.316,0.434,4.745,69.909,9.896
52.264,21.018,0.175,1.444,94.627,11.475
9.941,25.544,0.156,2.122,118.502,5.908
12.146,19.407,0.141,1.777,92.893,2.077
20.636,20.029,0.223,2.544,77.171,4.235
21.368,24.845,0.393,2.331,74.656,3.903
14.485,15.199,0.303,2.907,73.627,8.514
8.339,35.303,0.299,4.677,66.024,0.0
16.243,19.035,0.068,0.718,54.556,5.171
